title,date,link,tags,dept_target,img
【轉知】中華民國資訊軟體服務商業同業公會舉辦「AI 資安點線面，打造主動式資安防禦體」研討會 [Forwarded Notice] Seminar on “AI Cybersecurity: From Points to Planes—Building Proactive Cyber Defense” Hosted by the Taiwan Information Service Industry Association,2026/1/23,https://news.stust.edu.tw/id/92175,一般,全校,🏫
【資安漏洞預警】普羅通信｜PrismX MX100 AP controller - 存在Use of Hard-coded Credentials漏洞 [Security Vulnerability Alert] ProCommunicators | PrismX MX100 AP controller - Vulnerability of Use of Hard-coded Credentials Exists,2026/1/23,https://news.stust.edu.tw/id/92180,一般,全校,🏫
【資安漏洞預警】Zoom Node 多媒體路由器存在重大資安漏洞(CVE-2026-22844) [Security Vulnerability Alert] Zoom Node multimedia router has a critical cybersecurity vulnerability (CVE-2026-22844),2026/1/23,https://news.stust.edu.tw/id/92181,一般,全校,🏫
【資安漏洞預警】Oracle針對旗下多款產品發布重大資安公告(CVE-2026-21962) (CVE-2026-21969) [Security Vulnerability Alert] Oracle issues critical cybersecurity advisory for multiple products (CVE-2026-21962) (CVE-2026-21969),2026/1/23,https://news.stust.edu.tw/id/92182,一般,全校,🏫
【資安漏洞預警】哈瑪星科技｜MeetingHub 無紙化會議 - 存在Arbitrary File Upload漏洞 [Security Vulnerability Alert] Hamaxing Technology | MeetingHub Paperless Meeting - Contains Arbitrary File Upload Vulnerability,2026/1/23,https://news.stust.edu.tw/id/92183,一般,全校,🏫
誠徵「教育部實作場域設備精進計畫」碩士級專任助理一名,2026/1/23,https://news.stust.edu.tw/id/92174,系所活動,食品系,🏫
"【徵才】中嘉寬頻  【Recruitment】Homeplus Digital Co., Ltd.",2026/1/23,https://news.stust.edu.tw/id/92166,一般,全校,🏫
"【徵才】亞威科技有限公司  【Recruitment】Awei Technology Co., Ltd.",2026/1/23,https://news.stust.edu.tw/id/92171,一般,全校,🏫
[公告]114學年度寒假校園環境消毒 [Announcement] Campus Environmental Disinfection During the 2026 Winter Break,2026/1/23,https://news.stust.edu.tw/id/92170,一般,全校,🏫
(114)日間部寒假轉學生班級學號公告,2026/1/23,https://news.stust.edu.tw/id/92106,一般,全校,🏫
(114)進修部寒假轉學生班級學號公告,2026/1/23,https://news.stust.edu.tw/id/92108,一般,全校,🏫
【轉知】教育部函轉文化部「2026年第34屆臺北國際書展」，歡迎踴躍前往參觀。 [Notice] Forwarded by the Ministry of Education from the Ministry of Culture: The 34th Taipei International Book Exhibition 2026. All are welcome to attend.,2026/1/22,https://news.stust.edu.tw/id/92161,一般,全校,🏫
南臺科技大學學生事務處「原住民族學生資源中心」誠徵計畫約聘專任助理1名,2026/1/22,https://news.stust.edu.tw/id/92164,一般,全校,🏫
"「半導體製程電性檢測與品管基礎班第 02 期」招生 Enrollment is open for the 2nd cohort of the ""Semiconductor Manufacturing Process Electrical Testing and Quality Control Fundamentals Course"".",2026/1/22,https://news.stust.edu.tw/id/92155,一般,全校,🏫
"【徵才】世鴻食品股份有限公司  【Recruitment】SHIH HORNG FOODS CO., LTD.",2026/1/22,https://news.stust.edu.tw/id/92156,一般,全校,🏫
【徵才】貿聯國際股份有限公司  【Recruitment】BizLink Holding Inc.,2026/1/22,https://news.stust.edu.tw/id/92153,一般,全校,🏫
青年就業旗艦計畫 Youth Employment Flagship Program,2026/1/22,https://news.stust.edu.tw/id/92154,一般,全校,🏫
"【轉知】國立中興大學EMI教學資源中心辦理「2026 國立中興大學高教雙語教學對話論壇: Road to Bilingual Talent Cultivation」 The EMI Teaching Resources Center of National Chung Hsing University is organizing the ""2026 National Chung Hsing University Higher Education Bilingual Teaching Dialogue Forum: Road to Bilingual Talent Cultivation""",2026/1/22,https://news.stust.edu.tw/id/92162,一般,全校,🏫
"【研討會】高雄市立空中大學訂於115年3月28日(星期六)舉辦「第十八屆城市學學術研討會」，歡迎師生踴躍報名參加。 [Symposium] Kaohsiung Municipal Open University will hold the ""18th Urban Studies Academic Symposium"" on March 28, 2026 (Saturday). Faculty and students are welcome to register and participate.",2026/1/22,https://news.stust.edu.tw/id/92157,一般,全校,🏫
